,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
2022,My Birthday Song,"My Birthday Song is a 2018 Bollywood psychological thriller film produced and directed by Samir Soni.[1] The film stars the co-producer Sanjay Suri with Nora Fatehi, Zenia Starr and Ayaz Khan in supporting roles. The film revolves around a happily-married man and the song on his 40th birthday. It was released on 19 January 2018.[2]",Samir Soni,"Samir Soni, Vrushali Telang","Sanjay Suri, Samir Soni","Sanjay Suri, Nora Fatehi, Zenia Starr, Ayaz Khan, Suparna Krishna, Sameer Sharma, Elena Kazan",Shubham Kasera,Sandeep Sethy,19 January 2018,India,Hindi
2023,My Boy,The film premiered at the 2018 Toronto International Film Festival.[2],Sarah Pellerin,Sarah Pellerin,"Fanny-Laure Malo, Sarah Pellerin, Annie-Claude Quirion","Henri Richer-Picard, Marilyn Castonguay, Alexandre Landry",Ariel Méthot-Bellemare,Charles Grenier,September 2018(TIFF),Canada,French
2024,"My Brother, My Love","Sixteen-year-old Lena feels more attracted to her brother Noah than is usual among siblings. She tries to distract herself with Noah's friend Enis, but the impossible love becomes an obsession. She loses herself in daydreams and soon lives more in her imagination than in the real world. Finally she struggles to confess her love to her brother. However, the brother, frightened, rejects her. For Lena, a journey into the unknown begins.",Thomas Imbach,,"Andrea Štaka, Thomas Imbach","Zsofia Körös, Francis Meier, Milan Peschel, Bettina Stucky, Morgane Ferru, Nikola Šošic, İlayda Akdoğan, Gonca de Haas, Erol Afşin",Thomas Imbach,Thomas Imbach,6 August 2018(Locarno),Switzerland,German
2025,My Brother's Friend,"My Brother's Friend (Japanese: 兄友, Hepburn: Anitomo) is a 2018 Japanese romantic comedy film based on Modomu Akagawara's 2015 manga series Anitomo. Directed by Ryo Nakajima, it stars Ryusei Yokohama and Risaki Matsukaze.[1]",Ryo Nakajima,,,"Ryusei Yokohama, Risaki Matsukaze, Koudai Matsuoka, Tsuyoshi Furukawa",,,"May 28, 2018(Japan)",Japan,Japanese
2026,My Brother's Name Is Robert and He Is an Idiot,My Brother's Name Is Robert and He Is an Idiot (German: Mein Bruder heißt Robert und ist ein Idiot) is a 2018 German drama film directed by Philip Gröning. It was selected to compete for the Golden Bear in the main competition section at the 68th Berlin International Film Festival.[1][2],Philip Gröning,Philip Gröning,,"Josef Mattes, [, de, ]",,,21 February 2018(Berlin),Germany,German
2027,My Country My Home,"Nan was born and raised in Tokyo but her family is from Myanmar. When Nan know that she was stateless and his father is planning to take her home with him, she is shocked but she know from her mother's diary that her father and mother had been involved in the 8888 Uprising about 30 years ago and had immigrated to Japan as a refugee. As told of Burmese-born Japanese singer Aung Kimura, she understood everything and she decided to go to Myanmar, where his relatives live.",Kyi Phyu Shin,,Nan Mouk Laung Saing,"Yan Aung, Aung Ye Lin, Wutt Hmone Shwe Yi, Win Morisaki","Maung Maung Thar Myint, Ko Nge Lay","Kyi Phyu Shin, No No Aung (Red Radiance)","July 27, 2018",Myanmar,Burmese
2028,My Dead Dad's Porno Tapes,"Blending stop-motion animation, family interviews via phone and live footage, the film depicts Tyrell's attempt to make sense of his complicated relationship with his late father Greg through his remaining possessions, including but not limited to his collection of 1980s porn videotapes.[2]",Charlie Tyrell,"Josef Beeby, Charlie Tyrell",Julie Baldassi,,Chet Tilokani,Michael Barker,"January 19, 2018",Canada,English
2029,My Dinner with Hervé,"My Dinner with Hervé is an American television drama film written and directed by Sacha Gervasi, based on the later days of actor Hervé Villechaize, its title a riff on Louis Malle's My Dinner with Andre.[1] The film stars Peter Dinklage as Villechaize, Jamie Dornan as a struggling journalist, and Andy García as Villechaize's Fantasy Island co-star Ricardo Montalbán. It premiered on HBO on October 20, 2018,[2] and received generally positive reviews from critics, who praised the performances of Dinklage and Dornan.[3]",,,,,,,,,
2030,My Fairy Tail Love Story,"My Fairy Tail Love Story is a 2018 Filipino romantic fantasy film, directed by Perci Intalan, starring Janella Salvador, Elmo Magalona and Kiko Estrada. It is produced by Regal Entertainment. It was released on February 14, 2018, by Regal Entertainment.",Perci Intalan,,"Lily Y. Monteverde, Roselle Y. Monteverde","Janella Salvador, Elmo Magalona, Kiko Estrada",Mycko David,Maynard Pattaui,"February 14, 2018",Philippines,Filipino
2031,My Favourite Fabric,My Favourite Fabric (French: Mon tissu préféré) is a 2018 internationally co-produced drama film directed by Gaya Jiji. It was screened in the Un Certain Regard section at the 2018 Cannes Film Festival.[1][2],Gaya Jiji,Gaya Jiji,,Metin Akdülger,,,11 May 2018(Cannes),"France, Germany, Turkey",Arabic
2032,My Foolish Heart,My Foolish Heart premiered at the 2018 Netherlands Film Festival.[4],Rolf van Eijk,,,Steve Wall,,,September 2018(Netherlands Film Festival),Netherlands,Dutch
2033,My Friend the Polish Girl,"Katie, a young American documentarian, sets out to make a film about immigrants in post-Brexit-vote London, but ends up intruding on the life of Alicja, a struggling Polish actress. With confrontational questions, she tries to force intimacy and drives a wedge between Alicja and her boyfriend Michael. Alicja earns a pittance as an assistant in a cinema and is trying to get work as an actress while she becomes engrossed in the film. This documentary soon becomes the report of a questionable game in which the two women challenge each other.","Ewa Banaszkiewicz, Mateusz Dymek",,"Ewa Banaszkiewicz, Mateusz Dymek, Sebastian Petryk","Aneta Piotrowska, Emma Friedman-Cohen, Daniel Barry, Andy Abbott, Darren Rose, Max Davis",Michał Dymek,"Matylda Dymek, Mateusz Dymek","January 29, 2018(Rotterdam)","United Kingdom, Poland",English
2034,My Girlfriend's Ghost,"The film revolves around Lupe del Mar, an impertinent and arrogant actress of Mexican telenovelas, who travels to Dominican Republic to make one of her greatest dreams come true, to record a film. She suffers a terrible accident, which leads her to be in a coma and experience fun situations.",Francis Disla,"Francis Disla, Juan José Namnun, Yarissa Rodríguez, Conrado Ortiz",,"Carmen Villalobos, William Levy",Francis Adamez,Pedro Ángel López,3 May 2018,Dominican Republic,Spanish
2035,My Hero Academia: Heroes Rising,"My Hero Academia: Two Heroes (Japanese: 僕のヒーローアカデミア THE MOVIE 〜2人の英雄〜, Hepburn: Boku no Hīrō Akademia za Mūbī: Futari no Hīrō) is a 2018 Japanese animated superhero film based on an original story featuring the characters of My Hero Academia manga series by Kōhei Horikoshi. Produced by Bones and distributed by Toho, the film is directed by Kenji Nagasaki from a script written by Yōsuke Kuroda and features an ensemble cast that includes Daiki Yamashita, Kenta Miyake, Mirai Shida, Katsuhisa Namase, Nobuhiko Okamoto, Ayane Sakura, Kaito Ishikawa, Yuki Kaji, Marina Inoue, Toshiki Masuda, Ryō Hirohashi, Tasuku Hatanaka, Kei Shindō, and Rikiya Koyama. In the film, taking place between the Final Exams and the Forest Training Camp story arcs of the manga, Izuku Midoriya / Deku accompanies Toshinori Yagi / All Might in visiting his old friend at I-Island when Villains attack the artificial moving island.",Kenji Nagasaki,,"Kazuki Okamura, Kazumasa Sanjo, Koji Nagai, Yoshihiro Ozabu","Daiki Yamashita, Kenta Miyake, Mirai Shida, Katsuhisa Namase, Nobuhiko Okamoto, Ayane Sakura, Kaito Ishikawa, Yuki Kaji, Marina Inoue, Toshiki Masuda, Ryō Hirohashi, Tasuku Hatanaka, Kei Shindō, Rikiya Koyama",Masataka Ikegami,Kumiko Sakamoto,"July 5, 2018(Los Angeles Convention Center)",Japan,Japanese
2036,My Name Is Thomas,"My Name Is Thomas (Italian: Il mio nome è Thomas or La chiamavano Maryam) is a 2018 Italian drama film directed by Terence Hill and starring Hill alongside Matt Patresi, Eva Basteiro-Bertoli, Veronica Bitto and Guia Jelo.[1] The film is the return of Terence Hill since he appeared in Doc West (2009).[2]",Terence Hill,"Terence Hill, Luisa Tonon","Jess Hill, Paolo Luvisotti, Anselmo Parrinello, Anna Vila","Terence Hill, Veronica Bitto, Andy Luotto, Guia Jelo",Roberta Allegrini,Luca Benedetti,19 April 2018(Italy),Italy,Italian
2037,My Perfect You,"My Perfect You is a 2018 Philippine romantic drama film directed by Cathy Garcia-Molina from a story and screenplay written by Carmi G. Raymundo, with Molina and Kristine C. Gabriel as co-writers of the latter. The film stars Gerald Anderson and Pia Wurtzbach and tells the story of a man who's down in the dumps and a woman who helps him see the light again. The supporting cast includes Dimples Romana, Tonton Gutierrez, Janus del Prado, and Wilma Doesnt.",Cathy Garcia-Molina,,"Charo Santos-Concio, Malou N. Santos, Carlo L. Katigbak, Olivia M. Lamasan","Gerald Anderson, Pia Wurtzbach",Noel Teehankee,Marya Ignacio,"March 14, 2018",Philippines,"Filipino (primary), English (secondary)"
2038,My Rowdy Angel,,Win Lwin Htet,,,"Hlwan Paing, Khin Wint Wah, Yan Aung, Kyaw Thu, Htun Htun, Htoo Aung, Yell Htwe Aung, Thu Ta Aung, Khaing Thazin Ngu Wah",,,"December 28, 2018",Myanmar,Burmese
2039,My Story,"My Story is a 2018 Indian Malayalam-language romance film directed and produced by Roshni Dinaker and written by Shanker Ramakrishnan. The film stars Prithviraj Sukumaran and Parvathy Thiruvothu in the lead roles, with Ganesh Venkatraman, Manoj K. Jayan and Mukul Dev in supporting roles.",Roshni Dinaker,Shanker Ramakrishnan,"Dinaker O. V., Roshni Dinaker","Prithviraj Sukumaran, Parvathy Thiruvothu, Ganesh Venkatraman, Manoj K. Jayan, Mukul Dev","Dudley, Vinod Perumal",Priyank Prem Kumar,6 July 2018,India,Malayalam
2040,"My Teacher, My Obsession","My Teacher, My Obsession (also known as Dad Crush) is a 2018 American thriller drama film directed by Damian Romay, written by Patrick Robert Young and starring Rusty Joiner, Lucy Loken and Laura Bilgeri. The plot revolves around Riley (Bilgeri), who has transferred to a new high school where her father Chris (Joiner) is working as an English teacher. Riley initially has a hard time finding new friends, but eventually meets Kyla (Loken) and they become close friends. It turns out, though, that Kyla is obsessed with Riley's father.[1][2][3]",,,,,,,,,
2041,"My Tyrano: Together, Forever","The film depicts the friendship of a lonely Tyrannosaurus rex (OKA Ceratosaurus), Tyrano, and the orphaned baby dinosaur Punon as they begin their journey in search for an earthly paradise.",Kōbun Shizuno,"Dai Satō, Kimiko Ueno, Naohiro Fukushima","Kang Sang-wook, Yoshimi Suzuki, Mitsuaki Oishi, Kang Min-ha, Yoshihiro Shimizu","Shinichiro Miki, Kaori Ishihara, Aoi Yūki, Toshiyuki Morikawa, Nobuyuki Hiyama",Toru Shinozaki,,"October 5, 2018(Busan)1","South Korea, Japan, China","Korean, Japanese, Mandarin"
2042,My Uncle Archimedes,The film is about Greek communist Archimedes who is forced to leave his country due to Greek Civil War. He comes to Czechoslovakia with his wife and nephew Aris. He befriends his new neighbour Karel Novák.[2],,,,,,,,,
2043,Myanmar's Killing Fields,"Myanmar's Killing Fields is a 2018 British-American television documentary film about the Rohingya genocide in Myanmar. Produced by the American investigative journalism program Frontline on PBS, it investigates the origin of the humanitarian crisis in Myanmar as well as the ongoing situation of the Rohingya people. Shot and directed by Patrick Wells and reported by Evan Williams, the film aired on PBS in the United States on May 8, 2018, and on Channel 4 in the United Kingdom as part of the program Dispatches on May 14.",,,,,,,,,
2044,Mylove Lost,"Upon falling romantically for each other, Mario and Olivia adopt a cat named Miamor (Mylove), only responsive when addressed in the Valencian language. As love fades, the cat seemingly disappears too. It turns out that the cat has been secretly taken care of by Mario, prompting a vicious response by Olivia when she finds about it.[1][2]",Emilio Martínez-Lázaro,,,"Michelle Jenner, Dani Rovira",Juan Molina,Ángel Hernández Zoido,4 December 2018(Paterna),Spain,Spanish
2045,The Mystery of Burma: Beyond the Dote-hta-waddy,"The film was officially released on May 4, 2018 in Myanmar and 12 September 2018 in Singapore.[2][3] It was a critical and commercial success in Myanmar.[4]",Arkar,,Golden Hour Entertainment,"Nine Nine, Joe Moreira, Ah Moon, Naw Aung","Arkar, Jason Chan","Chan Nyein Aung, Jason Chan, Zin Min","May 4, 2018",Myanmar,Burmese
2046,Na Band Na Baraati,Sheena Lakhani,Mehmood Akhtar,Harish Kumar Patel,Zain Farooqi,"Mikaal Zulfiqar, Anzhelika Tahir, Ali Kazmi, Qavi Khan, Atiqa Odho, Shayan Khan, Nayab Khan, Komal Farooqi, Azra Mohyeddin, Sheena Lakhani",Shezad Pasha,David Van,"June 16, 2018(Eid al-Fitr)",Pakistan,Urdu
2047,Naa Nuvve,Naa Nuvve (transl. You're mine) is a 2018 Indian Telugu-language romantic drama film written and directed by Jayendra Panchapakesan.[1] It features Nandamuri Kalyan Ram and Tamannaah Bhatia in the lead roles.[2][3] P. C. Sreeram was the cinematographer and Sharreth composed the film's music. The film was released worldwide on 14 June 2018.[4],Jayendra Panchapakesan,"Subha, Jayendra Panchapakesan, Suryaa","Kiran Muppavarpu, Vijaykumar Vattikuti","Nandamuri Kalyan Ram, Tamannaah Bhatia, Vennela Kishore",P. C. Sreeram,,14 June 2018,India,Telugu
2048,Naa Peru Surya,"Naa Peru Surya Naa Illu India is a 2018 Indian Telugu-language action drama film written and directed by Vakkantham Vamsi in his directorial debut. Produced by Ramalakshmi Cine Creations, the film stars an ensemble cast including Allu Arjun as the titular character, with Arjun Sarja, R. Sarathkumar, Anu Emmanuel, Boman Irani, Thakur Anoop Singh, Sai Kumar, Pradeep Rawat, Harish Uthaman, Rao Ramesh, Nadhiya Moidu and Vennela Kishore in pivotal roles. In the film, a soldier struggling with anger issues is challenged to change his behaviour in order to fulfill his dream of serving at the borders. The music was composed by Vishal–Shekhar with editing by Kotagiri Venkateswara Rao.",Vakkantham Vamsi,Vakkantham Vamsi,Sirisha Sridhar Lagadapati,"Allu Arjun, Arjun Sarja, R. Sarathkumar, Anu Emmanuel",Rajeev Ravi,Kotagiri Venkateswara Rao,4 May 20181,India,Telugu
2049,Naachiyaar,"Naachiyaar is a 2018 Indian Tamil-language action crime film written, produced and directed by Bala. The film featured Jyothika in the title role, with G. V. Prakash Kumar and Ivana in other leading roles. The film tells the tale of the policewoman working to uncover the truth after a young man is accused of sexually assaulting his minor girlfriend. Featuring music composed by Ilaiyaraaja and cinematography by Eashwar, the film began production during March 2017 and was released on 16 February 2018.",Bala,Bala,Bala,"Jyothika, G. V. Prakash Kumar, Ivana",Theni Eswar,Sathish Suriya,16 February 2018,India,Tamil
2050,Naagdev,"Naagdev is a 2018 Indian, Bhojpuri language action- drama film directed by Dev Pandey and produced by Neelabh Tiwari, Ram Karan Gaud and Ramesh Singh under banner of ""Rambha Entertainment"" and ""Neelabh Tiwari Films"". Starring Khesari Lal Yadav in the lead role and Kajal Raghwani in an opposite role. Awadhesh Mishra, Dev Singh, Ritu Pandey, Vinod Mishra, Anoop Arora, Samarth Chaturvedi, J Neelam, Maya Yadav, Reena Rani, Prakash Jais, Sanjay Mahanand, Priya Sharma, Rohit Singh ""Matru"" and Sweety Singh play supporting roles, this film was first to introduce Vfx in Bhojpuri cinema.[1][2]",Dev Pandey,Manoj K. Kushwaha,"Neelabh Tiwari, Ram Karan Gaud, Ramesh Singh","Khesari Lal Yadav, Kajal Raghwani, Awadhesh Mishra, Dev Singh, Ritu Pandey",R. R. Prince,Gurjant Singh,16 November 2018(Bihar),India,Bhojpuri
2051,Naakaa,"Naakaa (Nepali:नाका, English: Border) is a 2018[1] Nepalese drama crime film, directed by Amit Shrestha, written by Arjun Karki (screenplay) and Abhishek Subedi and made under the banner of Media Port. The film stars Bipin Karki, Thinley Lhamo, Robin Tamang and Ghanashyam Joshi in the lead roles.[2] The film is set in Nepal-China border (around Bahrabise) film tells the story of human trafficking.[3][4][5]",Amit Shrestha,,Prawin Takki Karki,,Chintan Raj Bhandari,"Bibhusan Basnet, Pooja Gurung",1 March 2018(Nepal),Nepal,Nepali
2052,Naal,"Naal (English: Bond) is a 2018 Marathi film written and directed by Sudhakar Reddy Yakkanti and produced by Nagraj Manjule. Film Received Critical and Commercial success upon release it is year's highest grossing Marathi Film. At the 66th National Film Awards 2019, the film won the Best First Film of a Director trophy.[2][3]",Sudhakar Reddy Yakkanti,"Nagraj Manjule, (dialogue)","Nagraj Manjule, Sudhakar Reddy Yakkanti, Vaishali Viraj Londhe, Nikhil Varadkar, Nitin Prakash Vaidya, Prashant Madhusudhan Pethe","Shrinivas Pokale, Nagraj Manjule, Devika Daftardar",Sudhakar Reddy Yakkanti,Sanchari Das Mollik,16 November 2018,India,Marathi
2053,Naam,"Naam (English: Us) is a 2018 Indian Malayalam-language drama film written, directed and produced by debutant Joshy Thomas Pallickal. It tells the story of a group of youngsters.[1]",Joshy Thomas Pallickal,,Prema Antony Thekkek & Joshy Thomas Pallickal,"Shabareesh Varma, Rahul Madhav, Saiju Kurup, Tony Luke, Renji Panicker, Antony Thekkek, Aditi Ravi, Noby Marcose, Gayathri Suresh",Sudhi & Karthik,,11 May 2018,India,Malayalam
2054,Naduve Antaravirali,"Naduve Antaravirali (Kannada: ನಡುವೆ ಅಂತರವಿರಲಿ) is a 2018 Kannada romantic drama film written and directed by Raveen Kumaara, produced by Raveen Kumaara and G. K. Nagaraja. It co-stars Prakhyath Paramesh alongside  Aishani Shetty in the lead roles. Achyuth Kumar, Chikkanna, Tulasi Shivamani, Aruna Balraj and Srinivas Prabhu feature in supporting roles. This is the remake of the Tamil film Aadhalal Kadhal Seiveer (2013).[1][2]",Raveen Kumaara,Raveen Kumaara,"Raveen Kumaara, G. K. Nagaraja","Prakhyath Paramesh, Aishani Shetty",Yogi,Ganesh Mallaiah,5 October 2018,India,Kannada
2055,Nae Pasaran,"Nae Pasaran is a 2018 documentary directed by Felipe Bustos Sierra about a group of workers at a Rolls-Royce factory in East Kilbride, Scotland, who refused to work on Chilean Air Force parts from 1974-78 due to the atrocities carried out in Chile by the Pinochet dictatorship.[1] The feature-length film was expanded from an earlier 2013 short film by the same name, funded through the Scottish Documentary Institute's Bridging the Gap programme.[2] The film was the last programme broadcast on the new BBC Scotland channel's first day on air[3] and was rebroadcast on the same channel on 4 May and 20 October 2019 and on 21 November 2020. A lost engine rediscovered during production was brought back to Scotland and unveiled as a public monument, in commemoration of the boycott, at South Lanarkshire College, East Kilbride in 2019.[4]",Felipe Bustos Sierra,,,,,,"March 4, 2018(Glasgow Film Festival)",,English
2056,The Nagano Tapes,"The Nagano Tapes: Rewound, Replayed & Reviewed (Czech: Pásky z Nagana) is a 2018 documentary film, directed by Ondřej Hudeček and written by Hudeček and Jon Weinbach. The film shows how the Czech Republic won the gold medal in the ice hockey tournament of the 1998 Winter Olympics in Nagano, Japan. It is the first in the Five Rings series of films made for the Olympic Channel.[1]","Ondřej Hudeček, [, cs, ]","Ondřej Hudeček,, Jon Weinbach",Frank Marshall,"Giancarlo Esposito, Jaromír Jágr, Dominik Hašek",,,28 February 2018(Worldwide),"United States, Czech Republic, Canada, [, 3, ]","Czech, English"
2057,Nagesh Thiraiyarangam,"Nagesh Thiraiyarangam  (transl. Nagesh Theatre) is a 2018 Indian Tamil-language horror film produced by Rajendra M. Rajan and Punitha Rajan for Transindia Media & Entertainment Private Limited and directed by Mohamad Issack. The film stars Aari Arujunan, Ashna Zaveri and Masoom Shankar, while Latha, Sithara, Kaali Venkat, Abhilash, and Athulya Ravi play important roles.[1][2][3][4][5][6] The film was released across Tamil Nadu on 16 February 2018.",Mohamad Issack,Mohammad Issack,"Rajendra M. Rajan, Punitha Rajan","Aari Arujunan, Ashna Zaveri, Masoom Shankar",E. J. Nauzad,S. Devaraj,"February 16, 2018",India,Tamil
2058,Nagraj,"Nagraj (transl. King of Snakes) is a 2018 Indian Bhojpuri-language action drama film directed by Dinesh Yadav, produced by Deepak Shah under Tanvi Multimedia production banner, Distributed by RN Motion Pictures. It stars Yash Kumarr, Anjana Singh and Payas Pandit.[1] The film is a sequel to the 2016 film Ichhadhari.[1]",Dinesh Yadav,Yash Kumarr,Deepak Shah,"Yash Kumarr, Anjana Singh, Payas Pandit",R. R. Prince,Gurjant Singh,3 August 2018(BiharandJharkhand),India,Bhojpuri
2059,Nai Nabhannu La 5,"Nai Nabhannu La 5 (Nepali: नाइ नभन्नु ल ५, lit. 'Don't Say No 5') is a 2018[1] drama film, directed and written by Bikash Raj Acharya and Samipyaraj Timalsena. The film is produced by Haribol Bandari and Gauri Raj Joshi under the banner of One Time Cinema. The film stars Niruta Singh, Dilip Rayamajhi, Priyanka Karki, Keki Adhikari, Abishek Nepal, Swastima Khadka, Anubhav Regmi and Sedrina Sharma in the lead roles.[2][3][4][5]",Bikash Raj acharya,"Samipya Raj Timilsina, Bikash Raj Acharya","Haribol Bandari, Gauri Raj Joshi","Niruta Singh, Dilip Rayamajhi, Priyanka Karki, Abishek Nepal, Keki Adhikari, Swastima Khadka",Purushottam Pradhan,Arjun GC,24 August 2018(Nepal),Nepal,Nepali
2060,Naked Normandy,This article related to a French film of the 2010s is a stub. You can help Wikipedia by adding missing information.,Philippe Le Guay,"Philippe Le Guay, Olivier Dazat, Victoria Bedos",Anne-Dominique Toussaint,"François Cluzet, François-Xavier Demaison",Jean-Claude Larrieu,Monica Coleman,10 January 2018,France,French
2061,Nakkash,"Nakkash (transl. The Craftsman) is a 2019 Hindi language film written and directed by Zaigham Imam,[1] and produced by Pawan Tiwari’s Jalsa Pictures and Imam's AB Infosoft Creations in association with Padmaja Productions. Nakkash stars Inaamulhaq Sharib Hashmi and Kumud Mishra along with Rajesh Sharma.[2]",Zaigham Imam,Zaigham Imam,"Pawan Tiwari, Govind Goyal, Zaigham Imam","Inaamulhaq, Sharib Hashmi, Pawan Tiwari, Kumud Mishra, Rajesh Sharma (actor), Gulki Joshi",Asit Biswas,Prakash Jha,31 May 2019,India,Hindi
2062,Namaste England,"Namaste England (transl. Greetings, England!) is a 2018 Indian Hindi-language romantic drama film directed and co-produced by Vipul Amrutlal Shah.[7] The film is the sequel to 2007 film Namastey London.[8] The film stars Arjun Kapoor and Parineeti Chopra in lead roles alongside Aditya Seal, Shreya Mehta and Alankrita Sahai in supporting roles. Principal photography began on 23 February 2018 in Amritsar, Punjab.[9] It was released worldwide on 18 October 2018 to overwhelmingly negative reviews and emerged as a box office disaster.[10][11]",Vipul Amrutlal Shah,"Suresh Nair, Ritesh Shah, [, 1, ]","Vipul Amrutlal Shah, Dhaval Jayantilal Gada, Akkshay Jayantilal Gada, Reliance Entertainment, Aashin A. Shah, Reshma Kadakia, Kushal Kantilal Gada, Firuzi Khan, Sameer Chopra","Arjun Kapoor, Parineeti Chopra, Aditya Seal, Alankrita Sahai, Anil Mange, Satish Kaushik",Yiannis Manolopoulos,Amitabh Shukla,18 October 2018,India,Hindi
2063,Namdev Bhau: In Search of Silence,"Namdev Bhau: In Search of Silence is a 2018 Indian adventure drama film directed by Dar Gai's Jugaad Motion Pictures and starring Namdev Gurav, a chauffeur in real life, in the title role. The film contains Hindi and Marathi dialogues and was released with Hindi subtitles.[1]",Dar Gai,"Dar Gai, Kanishq Banka, Dheer Momaya","Dheer Momaya, Dar Gai",Namdev Gurav,Aditya Varma,Shounok Ghosh,5 October 2018(23rd Busan International Film Festival),India,"Marathi, Hindi"
2064,Nancy,"Nancy is a 2018 American psychological drama film written and directed by Christina Choe in her feature directorial debut. It stars Andrea Riseborough (who also co-produced) in the title role, with J. Smith-Cameron, Ann Dowd, John Leguizamo, and Steve Buscemi in supporting roles. It follows a serial imposter who, blurring lines between fact and fiction, becomes increasingly convinced she was kidnapped as a child.",Christina Choe,Christina Choe,"Amy Lo, Michelle Cameron, Andrea Riseborough","Andrea Riseborough, J. Smith-Cameron, Ann Dowd, John Leguizamo, Steve Buscemi",Zoë White,David Gutnik,"January 20, 2018(Sundance)",United States,English
2065,Nankana,"Nankana is a Punjabi language movie released on 6 July 2018.[1][2][3][4][5][6] Gurdas Maan played the lead role in the movie along with Kavita Kaushik,[7][8] and Gurmeet Sajan. Gurdas Maan made a comeback on big screen after four years.[9][10] The film was directed by Manjeet Maan.",Manjeet Maan,,,"Gurdas Maan, Kavita Kaushik, Gurmeet Saajan, Anas Rashid",,,6 July 2018,India,Punjabi language
2066,Nannu Dochukunduvate,Nannu Dochukunduvate (transl. The One Who Robs Me) is a 2018 Indian Telugu-language romance film directed by R. S. Naidu and starring Sudheer Babu and Nabha Natesh. The film is Nabha's debut. The music was composed by B. Ajaneesh Loknath.[1] It's dubbed in Hindi as Pyaar Ki Jeet. The film's title is based on a song from Gulebakavali Katha (1962).,R. S. Naidu,,Sudheer Babu,"Sudheer Babu, Nabha Natesh, Nassar",Suresh Ragutu,Chota K. Naidu,20 September 2018,India,Telugu
2067,Nanu Ki Jaanu,"Nanu Ki Jaanu (transl. Nanu's Janu) is a 2018 Indian Hindi-language horror comedy film directed by Faraz Haider, starring Abhay Deol and Patralekha. The first look poster was launched on 23 March 2018 followed by its theatrical trailer on 26 March 2018.[3] Nanu Ki Jaanu was released on 20 April 2018.[4][5][6] The movie is a remake of 2014 Tamil movie Pisaasu.[7]",Faraz Haider,,"PVR Pictures, Sajid Qureshi","Abhay Deol, Patralekha, Manu Rishi",S. R. Sathish Kumar,Manan Ajay Sagar,20 April 2018,India,Hindi
2068,Nappily Ever After,"Nappily Ever After is a 2018 American romantic comedy film directed by Haifaa al-Mansour and written by Adam Brooks and Cee Marcellus. It is based on the novel of the same name by Trisha R. Thomas. The film stars Sanaa Lathan, Ernie Hudson, Lyriq Bent, Lynn Whitfield, Ricky Whittle, Daria Johns, and Camille Guaty.",Haifaa al-Mansour,,"Tracey Bing, Jared LeBoff, Marc Platt, Sanaa Lathan","Sanaa Lathan, Ernie Hudson, Lyriq Bent, Lynn Whitfield, Ricky Whittle, Daria Johns, Camille Guaty",Alar Kivilo,Jay Deuby,"September 21, 2018(United States)",United States,English
2069,Nartanasala,Nartanasala (stylized as @Nartanasala) is a 2018 Indian Telugu-language romantic comedy film written and directed by debutant Srinivas Chakravarthi.[1] The film was produced by Usha Mulpuri[2] on Ira Creations banner which featured Naga Shourya and newcomer Kashmira Pardeshi and Yamini Bhaskar in the lead.,Srinivas Chakravarthi,Srinivas Chakravarthi,Usha Mulpuri,"Naga Shourya, Kashmira Pardeshi, Yamini Bhaskar",Vijay C. Kumar,Kotagiri Venkateswara Rao,30 August 2018,India,Telugu
2070,Nasumice,"In 1994, during the Bosnian War, Elvis, a young man from Sarajevo, earns a living as a Polaroid street photographer among tourists in Venice and Rome. After his camera is stolen, he visits Rodolfo, an Italian he met by chance. Their quiet, uneasy bond unfolds amid the whitewashed towns and olive groves of Puglia as both men confront displacement and isolation.""Nasumice (Adrift) – Film page"". Filmitalia (Cinecittà). Cinecittà. 2018. Retrieved 4 September 2025.",Caleb Burdeau,Caleb Burdeau,"Swing the Hammer Films, Burning Peacock","Moamer Kasumović, Marcello Prayer",Caleb Burdeau,Caleb Burdeau,"August 10, 2018(Sarajevo Film Festival)","Italy, Bosnia Herzegovina","Bosnian, Italian, English"
2071,Natakam,"Natakam (transl. Play) is a 2018 Indian Telugu-language action thriller film written and directed by Kalyanji Gogana, starring Ashish Gandhi and Ashima Narwal in the lead roles. Produced by Radhika Srinivas, Sri Saideep Chatla, Praveen Gandhi and Uma Kuchipudi, Natakam features music composed by Sai Karthik and cinematography by Anji.[1] The first look was launched by Anil Ravipudi.[2][3]",Kalyanji Gogana,Kalyanji Gogana,"Radhika Srinivas, Sri Sai Deep Chatla, Praveen Gandhi, Uma Kuchipudi","Ashish Gandhi, Ashima Narwal",Anji,Tellaguti Manikanth,28 September 2018,India,Telugu
2072,Natale a cinque stelle,It was released worldwide by Netflix on 7 December 2018.[2],Marco Risi,Enrico Vanzina,,"Massimo Ghini, Ricky Memphis, Martina Stella, Paola Minaccioni, Massimo Ciavarro, Andrea Osvárt, Riccardo Rossi, Biagio Izzo, Ralph Palka",,,"December 7, 2018",Italy,Italian
