,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
437,Levitating,"Levitating (Indonesian: Para Perasuk) is a 2026 supernatural drama film directed by Wregas Bhanuteja from a screenplay he co-wrote with Defi Mahendra and Alicia Angelina. The film stars Angga Yunanda as a young man who aspires to be the shaman of a trance party. It also stars Maudy Ayunda, Anggun, Bryan Domani, and Chicco Kurniawan. It is an international co-production of Indonesia, Singapore, and France.",Wregas Bhanuteja,"Wregas Bhanuteja, Defi Mahendra, Alicia Angelina","Siera Tamihardja, Iman Usman, Amalia Rusdi","Angga Yunanda, Maudy Ayunda, Anggun, Bryan Domani, Chicco Kurniawan",Gunnar Nimpuno,Ahmad Yuniardi,24 January 2026(Sundance)1,"Indonesia, Singapore, France",Indonesian
438,Leviticus,"Leviticus premiered on January 23, 2026, in the Midnight section of the 2026 Sundance Film Festival.[1] It is set for release theatrically in Australia on 18 June 2026.",Adrian Chiarella,Adrian Chiarella,"Samantha Jennings, Kristina Ceyton, Hannah Ngo","Joe Bird, Stacy Clausen, Jeremy Blewitt, Ewen Leslie, Davida McKenzie, Nicholas Hope, Zamira Newman, Mia Wasikowska",Tyson Perkins,Nick Fenton,"January 23, 2026(Sundance)",Australia,English
439,Little Brother,"Little Brother is an upcoming American comedy film starring John Cena, Eric André, Michelle Monaghan, Christopher Meloni, Ego Nwodim, and Sherry Cola. It is set to be released on Netflix in 2026.",Matt Spicer,,"David Bernad, Ruben Fleischer","John Cena, Eric André, Michelle Monaghan, Christopher Meloni, Ego Nwodim, Sherry Cola",Brandon Trost,,2026,United States,English
440,Little Thief,"The film premiered in Czech cinemas on March 5, 2026; the film was previewed on February 11, 2026 as part of the Tady Vary program. The film's co-producer is Czech Television.[2]",Ondřej Hudeček,Ondřej Hudeček,Tomáš Hrubý,"Matyáš Řezníček, Václav Neužil, Stanislav Majer, Denisa Barešová, Lukáš Příkazký, Filip Kaňkovský, Petr Borovec, Eva Vrbková, Milan Mikulčík, Jiří Vyorálek",Ondřej Hudeček,,5 March 2026(Czech Republic),Czech Republic,Czech
441,L.I.V.E. in São Paulo,"L.I.V.E. in São Paulo (Live Immersive Virtual Experiment) is the third live album and video by British rock band Bring Me the Horizon. It was recorded on 30 November 2024 at the Allianz Parque in São Paulo, Brazil. The live film was shown in cinemas worldwide on 25–28 March 2026[1], and released physically and digitally on 10 April 2026.[2] The theatrical release grossed $490,794 worldwide, with a gross of $336,363 in the United Kingdom.[3]",,,,,,,,,
442,The Loneliest Man in Town,"The film had its world premiere at the main competition of the 76th Berlin International Film Festival on 19 February 2026, where it was nominated for the Golden Bear.[1]","Tizza Covi, Rainer Frimmel",Tizza Covi,"Tizza Covi, Rainer Frimmel","Alois Koch, Brigitte Meduna, Alfred Blechinger, Flurina Schneider",Rainer Frimmel,"Tizza Covi, Emily Artmann",19 February 2026(Berlinale),Austria,German
443,Look Back,"Look Back (Japanese: ルックバック, Hepburn: Rukku Bakku) is an upcoming Japanese coming-of-age drama film written, directed, and edited by Hirokazu Kore-eda. It is the second adaptation of the 2021 one-shot manga by Tatsuki Fujimoto, following the 2024 anime film adaptation.",Hirokazu Kore-eda,,Daiju Koide,,Senzo Ueno,Hirokazu Kore-eda,2026,Japan,Japanese
444,Looney Tunes Collector's Vault,"Unlike the previous Collector's Choice series - which only contained a single disc with 25 cartoons - Collector's Vault contains two discs with 50 cartoons (51 on Volume 2). Volume 1, released on June 17, 2025,[1] contains 24 shorts never-before-remastered on DVD or Blu-ray (and one double-dip) on the first disc, and 25 shorts previously released on DVD making their Blu-ray debut on the second disc.[2][3][4] Volume 2, released on March 24, 2026, contains 26 shorts never-before-remastered on DVD or Blu-ray on the first disc and 25 shorts previously released on DVD making their Blu-ray debut on the second disc.[5]","Chuck Jones, Friz Freleng, Robert McKimson, Tex Avery, Arthur Davis, Bob Clampett, Ben Hardaway, Cal Dalton",,"Leon Schlesinger, Eddie Selzer, John W. Burton",Mel Blanc,,,"June 17, 2025",United States,English
445,Lorne,"Lorne is a 2026 American documentary film directed and produced by Morgan Neville, which is about the Saturday Night Live creator, Lorne Michaels.",Morgan Neville,,"Morgan Neville, Lauren Belfer",,Graham Willoughby,"Alan Lowe, Jake Hostetter","April 17, 2026",United States,English
446,Louis Theroux: Inside the Manosphere,"Louis Theroux: Inside the Manosphere is a 2026 documentary film directed by Adrian Choa and presented by Louis Theroux. Released globally on Netflix on 11 March 2026, the project marks Theroux's debut as a presenter for the streaming platform, following a decades-long career primarily associated with the BBC. The documentary explores the ""manosphere"", an online ecosystem of content creators advocating for hypermasculinity, ""red-pill"" philosophy, and often controversial views on gender roles.[1][2][3][4]",Adrian Choa,,"Louis Theroux, Aloke Devichand, Arron Fellows",,,Charlie MacDonald,11 March 2026,,English
447,Love Insurance Kompany,"Love Insurance Kompany (also known by the initialism LIK; /laɪk/) is a 2026 Indian Tamil-language science fiction romantic comedy film written and directed by Vignesh Shivan. Jointly produced by Rowdy Pictures and Seven Screen Studio, the film stars Pradeep Ranganathan, S. J. Suryah and Krithi Shetty, while Yogi Babu, Seeman, Gouri G Kishan, Shah Ra, Malavika and Sunil Reddy appear in supporting roles. It is set in 2040, where people fall in love through a dating app named LIK, but a man who believes in natural love, falls in love with a woman trusting LIK, and he seeks to challenge the system.",Vignesh Shivan,Vignesh Shivan,"Nayanthara, S. S. Lalit Kumar","Pradeep Ranganathan, S. J. Suryah, Krithi Shetty",Ravi Varman,Pradeep E. Ragav,10 April 2026,India,Tamil
448,Love Language,"Love Language is a 2026 American romantic comedy film written and directed by Joey Power. It stars Chloë Grace Moretz, Anthony Ramos, Manny Jacinto, Isabel May, Lukas Gage, and Billie Lourd.",Joey Power,Joey Power,"Ari Lubet, Colin Jost, Jeff Grosvenor, Bert Hamelinck, Allison Hironaka","Chloë Grace Moretz, Anthony Ramos, Manny Jacinto, Isabel May, Lukas Gage, Billie Lourd",Andrew Wehde,Jennifer Vecchiarello,"March 16, 2026(SXSW)",United States,English
449,Love Me Love Me,"It was released on Amazon Prime Video on February 13, 2026.",Roger Kumble,"Veronica Galli, Serena Tateo","Rafaella Leone, Luca Mezzaroma","Mia Jenkins, Pepe Barroso Silva, Luca Melucci",Martina Cocco,Silvia De Rose,"February 13, 2026",Italy,English
450,Love Mocktail 3,"Set several years after the events of Love Mocktail 2, the film follows Adi, who is now a single father to Nidhi, the girl he adopted at the end of the previous film. Their life is built around simple routines, bedtime stories, school incidents, and the warmth of domestic stability, supported by their caretaker “Jagga Mummy” and frequent visits from Adi’s close friend Viju.",Darling Krishna,"Darling Krishna, Milana Nagaraj, Yadunandan","Darling Krishna, Milana Nagaraj","Darling Krishna, Milana Nagaraj, Samvrutha, Rachel David, Amrutha Iyengar",Sri Crazy Mindz,Sri Crazy Mindz,19 March 2026,India,Kannada
451,The Loved One,"The Loved One is a 2026 Philippine romantic drama film written and directed by Irene Emma Villamor. The film stars Anne Curtis and Jericho Rosales. Produced by Cornerstone Studios and Viva Films, it was theatrically released in Philippine cinemas on February 11, 2026.",Irene Emma Villamor,Irene Emma Villamor,"Vincent Del Rosario III, Valerie S. Del Rosario, Veronique Del Rosario-Corpus","Anne Curtis, Jericho Rosales",Pao Orendain,Benjamin Tolentino,"February 11, 2026(Philippines)",Philippines,"Filipino, English"
452,Low Expectations,"The film is set to have its world premiere at the Directors' Fortnight section of the 2026 Cannes Film Festival, where it is nominated for the Caméra d'Or. It is set to be released in Norwegian theatres on 23 October 2026.",Eivind Landsvik,Eivind Landsvik,"Lotte Sandbu, Synnøve Hørsdal",Marie Ulven,Andreas Bjørseth,Patrick Larsgaard,May 2026(Cannes),"Norway, Denmark",Norwegian
453,Lucky the Superstar,"Lucky the Superstar is a 2026 Indian Tamil-language children's comedy drama film written and directed by Uday Mahesh.[1] The film stars G. V. Prakash Kumar, Anaswara Rajan, and Meghna Sumesh in lead roles alongside a Labrador Retriever. Produced by Kavithalayaa Productions, the film premiered directly on JioHotstar on 20 February 2026 and received mixed reviews from critics.[2]",Uday Mahesh,,"Kandaswamy Bharathan, Pushpa Kandasamy","G. V. Prakash Kumar, Anaswara Rajan, Meghna Sumesh",U. K. Senthil Kumar,Lawrence Kishore,20 February 2026,India,Tamil
454,Lucy Schulman,"Lucy Schulman is an upcoming American romantic comedy film written and directed by Ellie Sachs. Sachs stars alongside David Cross, Thomas Mann, Hasan Minhaj, Annabelle Attanasio, Chelsea Frei, Sandrine Holt, Eisa Davis, Olivia Luccardi, Joanna Arnow, Stephen Adly Guirgis, Will Janowitz, Devon Walker, and Kareem Rahma.",Ellie Sachs,Ellie Sachs,"Fernando Loureiro, Guilherme Coelho, Morwin Schmookler, Gabriel Amaral","Ellie Sachs, David Cross, Thomas Mann, Hasan Minhaj, Annabelle Attanasio, Chelsea Frei, Sandrine Holt, Eisa Davis, Olivia Luccardi, Joanna Arnow, Stephen Adly Guirgis, Will Janowitz, Devon Walker, Kareem Rahma",Barton Cortright,"Kate Pedatella, Henry Hayes","June 5, 2026(Tribeca Festival)",United States,English
455,Lunar Sway,"The cast also includes Grace Glowicki, Kaden Connors, Irina Dubova and Tyrone Benskin in supporting roles.",Nick Butler,,"Lucas Meeuse, Jennifer Wrede","Noah Parker, Douglas Smith, Liza Weil",Dmitry Lopatin,Nick Butler,"March 25, 2026(BFI Flare)",Canada,English
456,Maayabimbum,"Maayabimbum is a 2026 Indian Tamil language romantic film directed and produced by K. J. Surendar. The film was released on January 23, 2026.[2] It is set in 2005.",K. J. Surendar,K. J. Surendar,K. J. Surendar,"Akash Natarajan, Janaki",Edwin,Vinoth,23 January 2026,India,Tamil
457,Madden,"Madden is an upcoming American biographical sports film co-produced and directed by David O. Russell, who co-wrote it based on an earlier version by Cambron Clark. It follows the life of American football coach and commentator John Madden, who is portrayed by Nicolas Cage. The cast also features Christian Bale, Kathryn Hahn, John Mulaney, Sienna Miller, and Shane Gillis.",David O. Russell,"Cambron Clark, David O. Russell","Todd Black, Jason Blumenthal, David O. Russell, Jonathan Shukat, Steve Tisch","Nicolas Cage, Christian Bale, Kathryn Hahn, John Mulaney, Sienna Miller, Shane Gillis",Robert Richardson,Alan Baumgarten,"November 26, 2026",United States,English
458,Made in Korea,,Ra. Karthik,Ra. Karthik,Sreenidhi Sagar,"Priyanka Mohan, Rishikanth, Park Hye-Jin, Si-hun Baek",Prasanna Kumar,Anthony,12 March 2026,India,"Tamil, Korean, English"
459,Madfabulous,"Madfabulous is a 2026 British historical drama film about Henry, 5th Marquess of Anglesey, directed by Celyn Jones and starring Rupert Everett, Ruby Stokes and Callum Scott Howells.",Celyn Jones,,"Nadia Jaynes, Sean Marley","Callum Scott Howells, Ruby Stokes, Rupert Everett",Laurie Rose,,25 March 2026(LLGBTIQFF),United Kingdom,English
460,Madhuvidhu,The film was released in theatres on 23 April 2026.[3],Vishnu Aravind,,Ajith Vinayaka,"Sharaf U Dheen, Kalyani Panicker, Jagadish, Azees Nedumangad",,,23 April 2026,India,Malayalam
461,The Magic Faraway Tree,"The Magic Faraway Tree is a 2026 fantasy adventure film directed by Ben Gregor from a screenplay written by Simon Farnaby, adapted from Enid Blyton's book series of the same name. It stars Andrew Garfield, Claire Foy, Nonso Anozie, Nicola Coughlan, Jessica Gunning, Jennifer Saunders, and Rebecca Ferguson. It follows three young siblings who move with their parents to the countryside and discover a realm of magical worlds.",Ben Gregor,,"Pippa Harris, Nicholas Brown, Danny Perkins, Jane Hooks","Andrew Garfield, Claire Foy, Nonso Anozie, Nicola Coughlan, Jessica Gunning, Jennifer Saunders, Rebecca Ferguson",Zac Nicholson,Gary Dollner,27 March 2026(United Kingdom),"United Kingdom, United States",English
462,Magic Mushrooms,Magic Mushrooms (also marketed as Magic Mushrooms from Kanjikkuzhi[1]) is a 2026 Indian Malayalam film composed and directed by Nadirshah[2]. The film stars Vishnu Unnikrishnan[3] and Akshaya in lead role.[4],Nadirshah,Akash Dev,Asharaf Pilakkal,"Vishnu Unnikrishnan, Akshaya, Meenakshi Dinesh, Harisree Ashokan, Aju Varghese, Sidharth Bharathan, Johny Antony, Jaffar Idukki",Sujith Vasudev,Johnkutty,23 January 2026,India,Malayalam
463,Maigret and the Dead Lover,"A former French ambassador, who has been carrying out a five decade affair with a recently widowed princess, is found murdered at the Quai d'Orsay, and the only evidence found are a series of suggestive letters between the two. Policeman Jules Maigret is tasked with discreetly investigating the matter.[1][2]",Pascal Bonitzer,,"Saïd Ben Saïd, Jacques-Henri Bronckart, Kevin Chneiweiss (associate producer), Tatjana Kozar, John Simenon (associate producer)","Denis Podalydès, Anne Alvaro, Manuel Guillot, Irène Jacob, Dominique Reymond, Micha Lescot, Olivier Rabourdin, Laurent Poitrenaux, Julia Faure",Pierre Milon,,18 February 2026,France,French
464,Malaki Duwe Numba,"Malaki Duwe Nubha (Storybook Daughter) (Sinhala: මලකි දුවේ නුඹ) is a 2026 Sri Lankan Sinhala drama film co-directed by Kalpana Ariyawansa and Vindana Ariyawansa.[1] The film is co-produced by Dr. Lakshman Makandura and Kularatne Ariyawansa for Ransara Pictures.[3] The film stars Kushenya Fonseka in lead role with Malini Fonseka, Samanalee Fonseka, Shyam Fernando, Dhananjaya Siriwardena and Pradeepa Dharmadasa made supportive roles.[4][5][6]","Kalpana Ariyawansa, Vindana Ariyawansa",Vindana Ariyawansa,"Dr., Lakshman Makandura, Kularatne Ariyawansa","Kushenya Fonseka, Malini Fonseka, Samanalee Fonseka, Shyam Fernando",Vishwajith Karunaratne,Kalpana Ariyawansa,"January 2, 2026",Sri Lanka,Sinhala
465,Mallorca Confidential,Mallorca Confidential (Spanish: Mallorca Confidencial) is a 2026 crime thriller film directed by David Ilundain [es] and written by Amèlia Mora [es]. It stars Lolita Flores and Asia Ortega.,David Ilundain,Amèlia Mora,"Valérie Delpierre, Luis Ortas","Lolita Flores, Asia Ortega, Jordi Sánchez, Moreno Borja",Alex García Martínez,Mariona Solé Altamira,11 March 2026(Málaga),"Spain, Belgium","Spanish, Catalan"
466,The Man I Love,"The Man I Love is an upcoming American musical fantasy film co-written and directed by Ira Sachs. It stars Rami Malek, Tom Sturridge, Luther Ford, Rebecca Hall and Ebon Moss-Bachrach.",Ira Sachs,,"Scott McGehee, David Siegel, Saïd Ben Saïd, Mike Spreter, Myriam Schroeter","Rami Malek, Tom Sturridge, Luther Ford, Rebecca Hall, Ebon Moss-Bachrach",Josée Deshaies,Affonso Gonçalves,May 2026(Cannes),"United States, France",English
467,A Man of His Time,"A Man of His Time (French: Notre Salut, lit. 'Our Salvation') is an upcoming 2026 drama film written and directed by Emmanuel Marre. Starring Swann Arlaud as Henri Marre, it follows the French Resistance during the World War II and the Vichy France.",Emmanuel Marre,Emmanuel Marre,"Alexandre Perrier, Sébastien Andres, Alice Lemaire","Swann Arlaud, Sandrine Blancke",Olivier Boonjing,Nicolas Rumpl,May 2026(Cannes),"France, Belgium",French
468,Mana Shankara Vara Prasad Garu,"Mana Shankara Vara Prasad Garu (transl. Our Mr. Shankara Vara Prasad) is a 2026 Indian Telugu-language action comedy film written and directed by Anil Ravipudi. The film is produced by Sahu Garapati and Sushmita Konidela. It stars Chiranjeevi in the titular role, alongside Venkatesh, Nayanthara and Catherine Tresa. The plot follows Shankara Vara Prasad, a national security officer who seeks to protect his estranged wife and children, seeing it as a chance to re-unite with them.",Anil Ravipudi,Anil Ravipudi,"Sahu Garapati, Sushmita Konidela","Chiranjeevi, Venkatesh, Nayanthara, Catherine Tresa",Sameer Reddy,Tammiraju,12 January 2026,India,Telugu
469,The Mandalorian and Grogu,"The Mandalorian and Grogu, also known as Star Wars: The Mandalorian and Grogu,[1] is an upcoming American film directed by Jon Favreau and co-written by Favreau, Dave Filoni, and Noah Kloor. Produced by Lucasfilm and set to be distributed by Walt Disney Studios Motion Pictures, it is part of the Star Wars franchise and a continuation of the Disney+ television series The Mandalorian (2019–2023). Pedro Pascal stars as Din Djarin / The Mandalorian—who was also portrayed on set by Brendan Wayne and Lateef Crowder—alongside Jeremy Allen White and Sigourney Weaver. In the film, which is set following the fall of the Galactic Empire, Djarin and his apprentice Grogu are enlisted by the New Republic to rescue Rotta the Hutt (White) in exchange for information on a target.",Jon Favreau,"Jon Favreau, Dave Filoni, Noah Kloor","Kathleen Kennedy, Jon Favreau, Dave Filoni, Ian Bryce","Pedro Pascal, Jeremy Allen White, Brendan Wayne, Lateef Crowder, Sigourney Weaver",David Klein,"Rachel Goodlett Katz, Dylan Firshein","May 22, 2026",United States,English
470,Manhood,"The film had its world premiere at the 2026 South by Southwest Film & TV Festival on March 14, 2026.[4]",Daniel Lombroso,,"Kerry Mack, Rebecca Shaid","William Moore, Ruben Ramirez, David Smith",Vittoria Campaner,David P. Zucker,"March 14, 2026(South by Southwest)",United States,English
471,Manithan Deivamagalam,"Manithan Deivamagalam (transl. Man can become god) is a 2026 Indian Tamil-language drama film written and directed by Dennis Manjunath. The film is produced by Vijaya Sathish under the banner Vyom Entertainments and distributed by Sakthi Film Factory. It stars Selvaraghavan and Kushee Ravi, with R. S. Sathish, Kausalya Nandini, Lirthika MS and Salem Deepak in prominent roles. The film was theatrically released on 10 April 2026.",Dennis Manjunath,Dennis Manjunath,Vijaya Sathish,"Selvaraghavan, Kushee Ravi",Ravi Varma K,Deepak S,10 April 2026,India,Tamil
472,Mardaani 3,"Mardaani 3 (transl. Manly 3) is a 2026 Indian Hindi-language action thriller film directed by Abhiraj Minawala and produced by Aditya Chopra under Yash Raj Films. A sequel to the 2019 film Mardaani 2 and the third instalment in the Mardaani Trilogy, it stars Rani Mukerji in the lead role, alongside Prajesh Kashyap, Janki Bodiwala and Mallika Prasad. The narrative follows police officer Shivani Shivaji Roy as she investigates the case of 93 young girls who have gone missing under mysterious circumstances in just three months.",Abhiraj Minawala,Aayush Gupta,Aditya Chopra,"Rani Mukerji, Janki Bodiwala, Mallika Prasad, Prajesh Kashyap",Artur Żurawski,Yasha Ramchandani,30 January 2026,India,Hindi
473,Masters of the Universe,"Masters of the Universe is an upcoming American sword and sorcery film directed by Travis Knight and written by Chris Butler, Aaron and Adam Nee, and David Callaham. Based on the Masters of the Universe media franchise by Mattel, it is the second live-action film adaptation after the 1987 film. Nicholas Galitzine stars as Prince Adam / He-Man, alongside Camila Mendes, Alison Brie, James Purefoy, Morena Baccarin, Jóhannes Haukur Jóhannesson, Charlotte Riley, Kristen Wiig, Jared Leto, and Idris Elba. The film follows Prince Adam's return to his home planet Eternia to save it and the rest of the universe from the evil forces of Skeletor.",Travis Knight,,"Todd Black, Jason Blumenthal, Robbie Brenner, DeVon Franklin","Nicholas Galitzine, Camila Mendes, Alison Brie, James Purefoy, Morena Baccarin, Jóhannes Haukur Jóhannesson, Charlotte Riley, Kristen Wiig, Jared Leto, Idris Elba",Fabian Wagner,Paul Rubell,"June 5, 2026",United States,English
474,Masthishka Maranam,"Masthishka Maranam (lit. 'Brain death'; subtitled A Frankenbiting of Simon's Memories) is a 2026 Indian Malayalam-language cyberpunk comedy film written and directed by Krishand. It stars Rajisha Vijayan, Niranj Maniyanpilla Raju, Divya Prabha, Jagadish and Suresh Krishna. The film was released theatrically on 27 February 2026 and began streaming on Netflix on 27 March 2026.[1][2]",Krishand,Krishand,Vinayaka Ajith,"Rajisha Vijayan, Niranj Maniyanpilla Raju, Divya Prabha, Jagadish, Suresh Krishna",Prayag Mukundan,Krishand,27 February 2026,India,Malayalam
475,The Match,"The film will have its world premiere at the Cannes Premiere section of the 2026 Cannes Film Festival in May 2026.[5][6] It is scheduled for a theatrical release in Argentina on 21 May, coinciding with the 40th anniversary of the match.[1]","Juan Cabral, Santiago Franco","Juan Cabral, Santiago Franco",Flora Fernández Marengo,,Pablo Gallego,"Lucas Coppolechia, Sebastian Fasanelli, Juan Pablo Scaglione, Mauro Caporossi",May 2026(Cannes),Argentina,"Spanish, English"
476,Matchbox: The Movie,"Matchbox: The Movie is an upcoming American action adventure comedy film directed by Sam Hargrave and written by David Coggeshall, based on the toy brand Matchbox by Mattel. It stars John Cena, Jessica Biel, Sam Richardson, Arturo Castro, Teyonah Parris, Randeep Hooda, Danai Gurira, Corey Stoll, Golshifteh Farahani, and Bill Camp.",Sam Hargrave,David Coggeshall,"David Ellison, Dana Goldberg, Don Granger, Robbie Brenner","John Cena, Jessica Biel, Sam Richardson, Teyonah Parris, Arturo Castro, Randeep Hooda, Danai Gurira, Corey Stoll, Golshifteh Farahani, Bill Camp",Pedro Luque,"Dirk Westervelt, [, 1, ]","October 9, 2026",United States,English
477,Mavka: The True Myth,"The film takes place in modern Ukraine and is based on mythology. Mavka is a dangerous nymph in forest lake. Every four years nymphs come to the human world. This time, a group of biology students are in the forest. Among them is Lukian. He meets Mavka not suspecting that she is a nymph. Lukian falls in love. Mavka also loves Lukian. Mavka doesn't want to kill Lukian in forest lake.",Katia Tsaryk,,"Iryna Kostiuk, Anna Jelisejeva",,,,22 February 2026(Ukraine),Ukraine,Ukrainian
478,Mayday,"Mayday is an upcoming American action comedy film written and directed by Jonathan Goldstein and John Francis Daley, and produced by Apple Original Films, Skydance Media, and Maximum Effort. It stars Ryan Reynolds, Kenneth Branagh, Marcin Dorociński, Maria Bakalova, and David Morse.","Jonathan Goldstein, John Francis Daley","Jonathan Goldstein, John Francis Daley","David Ellison, Dana Goldberg, Don Granger, Ryan Reynolds, Ashley Fox, Johnny Pariseau, Patrick Gooing, Jonathan Goldstein, John Francis Daley","Ryan Reynolds, Kenneth Branagh, Maria Bakalova, Marcin Dorociński, David Morse",Barry Peterson,"Jamie Gross, John Lee","September 4, 2026",United States,English
479,Mayilaa,"Mayilaa (English: Peahen) is a 2026 Tamil drama film directed by Semmalar Annam in her debut feature and presented by Pa. Ranjith. The film produced by Newton Cinema is set in a village in Tamil Nadu and tells the story of Poongodi's struggle for independence and self-respect through the eyes of her daughter, Sudar.[1]",Semmalar Annam,,Anto Chittilappilly,"Melodi Dorcas, Shudarkodi V, Sathya Maruthani, Geetha Kailasam, Auto Chandran, Janaki Suresh",Vinoth Janakiraman,Sreekar Prasad,"January 31, 2026(IFFR)",India,Tamil
480,McCartney: The Hunt for the Lost Bass,"McCartney: The Hunt for the Lost Bass is a 2026 British documentary film directed by Arthur Cary. It is a Passion Pictures production in association with The Footprint Media Partnership. Klaus Voormann provided original artwork for the film. The story was originated by Scott and Naomi Jones, the founders of Footprint and The Lost Bass Project.[1]",Arthur Cary,,"Katherine Anstey, Emily Jeal, Hamish Fergusson","Paul McCartney, Mike McCartney, Klaus Voormann",Johann Perry,Paul Carlin,"April 2, 2026",United Kingdom,English
481,Mel Brooks: The 99 Year Old Man!,The documentary features the final on-screen interviews with Rob Reiner and David Lynch.[4],"Judd Apatow, Michael Bonfiglio",,"Judd Apatow, Michael Bonfiglio, Kevin Salter, Wayne Federman, Olivia Rosenbloom",,,Joe Beshenkovsky,"January 22, 2026",United States,English
482,Melania,"Melania is a 2026 American film directed and produced by Brett Ratner. It revolves around the experiences of Melania Trump, the first lady of the United States, in the 20 days before her husband Donald's second presidential inauguration. It was released in the United States by Amazon MGM Studios on January 30, 2026.",Brett Ratner,,"Brett Ratner, Fernando Sulichin, Marc Beckman, Melania Trump",Melania Trump,"Barry Peterson, Dante Spinotti, Jeff Cronenweth",Alex Márquez,"January 30, 2026(United States)",United States,English
483,Mellisai,"Mellisai (transl. Melody) is a 2026 Indian Tamil-language drama film written, directed, produced and edited by Dhirav under his Hashtag FDFS Productions banner, starring Kishore and Subatra Robert in the lead roles, alongside George Maryan, Harish Uthaman and others in important roles.[1]",Dhirav,Dhirav,Dhirav,"Kishore, Subatra Robert, George Maryan",Devaraj Pugazhendi,Dhirav,30 January 2026,India,Tamil
484,Mera Lyari,"The film was backed by the Sindh government[5] and announced by officials as a response to Dhurandhar, which they said misrepresented Lyari, Karachi.[6][7]",Abu Aleeha,Abu Aleeha,Ayesha Omar,"Ayesha Omar, Dananeer Mobeen, Trinette Lucas, Samiya Mumtaz",,,"May 2, 2026(UKAFF)1",Pakistan,
485,Mercy,"Mercy is a 2026 American science fiction thriller film written by Marco van Belle, directed by Timur Bekmambetov, and starring Chris Pratt and Rebecca Ferguson. The plot involves a detective (Pratt), who is accused of murdering his wife, and must prove his innocence to an artificial intelligence judge (Ferguson). The film also stars Kali Reis, Annabelle Wallis, Chris Sullivan, and Kylie Rogers.",Timur Bekmambetov,Marco van Belle,"Charles Roven, Robert Amidon, Timur Bekmambetov, Majd Nassif","Chris Pratt, Rebecca Ferguson, Kali Reis, Annabelle Wallis, Chris Sullivan, Kylie Rogers",Khalid Mohtaseb,"Austin Keeling, Lam T. Nguyen, Dody Dorn","January 19, 2026(Regal Cinemas)",United States,English
486,Michael,"Michael is a 2026 American biographical film directed by Antoine Fuqua and written by John Logan. It follows the life of the American singer Michael Jackson, covering his involvement in the Jackson 5 in the 1960s to the 1980s Bad tour. Jackson is portrayed by his nephew Jaafar Jackson and as a child by Juliano Krue Valdi, both in their film debuts. The supporting cast includes Nia Long, KeiLyn Durrel Jones, Laura Harrier, Jessica Sula, Mike Myers, Miles Teller and Colman Domingo.",Antoine Fuqua,John Logan,"Graham King, John Branca, John McClain","Jaafar Jackson, Nia Long, Juliano Valdi, KeiLyn Durrel Jones, Laura Harrier, Jessica Sula, Mike Myers, Miles Teller, Colman Domingo",Dion Beebe,"John Ottman, Harry Yoon, Conrad Buff IV, Tom Cross","April 10, 2026(Berlin)3",United States,English
487,Midwinter Break,"The film was released in the United States on 20 February 2026, and in the United Kingdom on 20 March.",Polly Findlay,"Bernard MacLaverty, Nick Payne","Guy Heeley, Floor Onrust","Lesley Manville, Ciarán Hinds, Niamh Cusack",Laurie Rose,"Lucia Zucchetti, Stephen O'Connell",20 February 2026(United States),"United Kingdom, Netherlands",English
488,Mike & Nick & Nick & Alice,"Mike & Nick & Nick & Alice is a 2026 American science fiction action comedy crime film written and directed by BenDavid Grabinski and produced by Andrew Lazar and starring Vince Vaughn, James Marsden, Eiza González, Keith David, and Jimmy Tatro. It premiered at the South by Southwest Film & TV Festival on March 14, 2026, before releasing worldwide on Disney+ and Hulu on March 27.",BenDavid Grabinski,BenDavid Grabinski,Andrew Lazar,"Vince Vaughn, James Marsden, Eiza González, Keith David, Jimmy Tatro",Larry Fong,Tim Squyres,"March 14, 2026(SXSW)",United States,English
489,Milo,"Milo is an upcoming French comedy-drama[1] film directed by Nicole Garcia from a screenplay she co-wrote with Jacques Fieschi, Laurette Polmanss, and Olivier Demangel, starring Marion Cotillard, Théodore Pellerin, Artus, Laure Calamy, Charles Berling, Éric Elmosnino, Alexis Manenti, and Anne Brochet. The film will be released theatrically in France by StudioCanal in 2026.",Nicole Garcia,,Alain Attal,"Marion Cotillard, Théodore Pellerin, Artus, Laure Calamy, Charles Berling, Éric Elmosnino, Alexis Manenti, Anne Brochet",,,,France,French
490,Minions & Monsters,"Minions & Monsters is an upcoming American animated comedy film directed by Pierre Coffin from a script he wrote with Brian Lynch. Produced by Illumination and distributed by Universal Pictures, it is the third installment in the Minions prequel series and the seventh installment overall in the Despicable Me franchise.  The film will star Coffin as the Minions, alongside Trey Parker, Jesse Eisenberg, Zoey Deutch, Allison Janney, Bobby Moynihan, Phil LaMarr, Christoph Waltz, and Jeff Bridges. Taking place many years before Minions (2015), the film follows the Minions as they aim to make a monster movie in Old Hollywood.",Pierre Coffin,"Brian Lynch, Pierre Coffin","Chris Meledandri, Bill Ryan","Pierre Coffin, Trey Parker, Jesse Eisenberg, Zoey Deutch, Allison Janney, Bobby Moynihan, Phil LaMarr, Christoph Waltz, Jeff Bridges",,,"July 1, 2026",United States,English
